Date_Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),T
2004-03-15 03:00:00,1.1,1078.0,44.0,4.4,734.0,12.6
2004-03-15 05:00:00,1.0,1075.0,39.0,3.9,703.0,11.9
2004-03-15 06:00:00,1.4,1157.0,51.0,6.4,830.0,11.4
2004-03-15 07:00:00,2.2,1314.0,107.0,9.7,966.0,11.3
2004-03-15 08:00:00,5.5,1797.0,336.0,25.9,1451.0,12.4
2004-03-15 09:00:00,8.1,1961.0,618.0,36.7,1701.0,14.8
2004-03-15 10:00:00,5.8,1771.0,438.0,26.6,1470.0,17.4
2004-03-15 11:00:00,4.2,1564.0,334.0,20.1,1300.0,19.8
2004-03-15 12:00:00,3.1,1430.0,221.0,14.1,1120.0,22.0
2004-03-15 13:00:00,2.9,1417.0,207.0,14.9,1146.0,23.3
2004-03-15 14:00:00,2.9,1400.0,191.0,15.4,1162.0,23.9
2004-03-15 15:00:00,2.5,1317.0,185.0,12.1,1053.0,24.4
2004-03-15 16:00:00,2.3,1318.0,141.0,11.5,1033.0,24.4
2004-03-15 17:00:00,2.8,1445.0,214.0,14.8,1141.0,23.8
2004-03-15 18:00:00,6.1,1917.0,471.0,32.1,1601.0,22.5
2004-03-15 19:00:00,8.0,2040.0,685.0,39.2,1754.0,20.4
2004-03-15 20:00:00,6.5,1895.0,538.0,31.0,1573.0,18.3
2004-03-15 21:00:00,4.2,1595.0,319.0,19.9,1294.0,16.7
2004-03-15 22:00:00,3.2,1439.0,224.0,15.3,1159.0,15.7
2004-03-15 23:00:00,1.4,1142.0,67.0,6.9,852.0,15.3
2004-03-16 00:00:00,2.1,1304.0,155.0,11.1,1019.0,14.1
2004-03-16 01:00:00,1.2,1074.0,49.0,5.4,784.0,14.8
2004-03-16 02:00:00,0.8,968.0,29.0,2.8,640.0,14.8
2004-03-16 03:00:00,0.7,929.0,25.0,2.3,608.0,13.6
2004-03-16 05:00:00,0.6,937.0,17.0,2.0,585.0,12.8
2004-03-16 06:00:00,0.9,1017.0,27.0,3.5,681.0,11.2
2004-03-16 07:00:00,1.3,1171.0,50.0,5.1,770.0,11.0
2004-03-16 08:00:00,3.4,1541.0,218.0,16.2,1185.0,11.7
2004-03-16 09:00:00,3.7,1539.0,285.0,19.7,1287.0,13.6
2004-03-16 10:00:00,5.3,1735.0,437.0,25.1,1431.0,17.8
2004-03-16 11:00:00,4.1,1571.0,327.0,20.0,1297.0,21.4
2004-03-16 12:00:00,3.3,1452.0,283.0,18.3,1250.0,24.4
2004-03-16 13:00:00,4.0,1579.0,366.0,22.3,1359.0,25.3
2004-03-16 14:00:00,3.8,1466.0,318.0,20.4,1309.0,25.8
2004-03-16 15:00:00,2.8,1280.0,228.0,14.6,1136.0,27.0
2004-03-16 16:00:00,2.9,1407.0,201.0,16.6,1197.0,28.2
2004-03-16 17:00:00,2.9,1389.0,199.0,15.8,1173.0,28.0
2004-03-16 18:00:00,3.4,1447.0,237.0,17.8,1235.0,23.9
2004-03-16 19:00:00,3.9,1551.0,261.0,19.1,1271.0,21.3
2004-03-16 20:00:00,3.2,1474.0,230.0,15.8,1173.0,20.4
2004-03-16 21:00:00,5.1,1800.0,349.0,24.9,1426.0,19.0
2004-03-16 22:00:00,2.6,1379.0,183.0,13.5,1101.0,17.9
2004-03-16 23:00:00,1.7,1201.0,88.0,9.1,943.0,16.7
2004-03-17 00:00:00,1.7,1205.0,85.0,8.6,925.0,15.5
2004-03-17 01:00:00,1.2,1072.0,47.0,5.4,784.0,15.5
2004-03-17 02:00:00,0.9,998.0,34.0,4.1,714.0,14.1
2004-03-17 03:00:00,0.7,933.0,26.0,2.6,625.0,13.1
2004-03-17 05:00:00,0.5,869.0,11.0,1.6,554.0,11.8
2004-03-17 06:00:00,0.5,891.0,18.0,1.9,576.0,11.9
2004-03-17 07:00:00,1.6,1173.0,84.0,7.5,878.0,9.9
2004-03-17 08:00:00,4.1,1587.0,260.0,21.4,1334.0,11.1
2004-03-17 09:00:00,6.6,1852.0,534.0,36.4,1696.0,14.1
2004-03-17 10:00:00,4.3,1522.0,368.0,21.3,1331.0,17.7
2004-03-17 11:00:00,2.9,1438.0,200.0,15.4,1161.0,21.1
2004-03-17 12:00:00,2.5,1393.0,145.0,12.5,1067.0,24.3
2004-03-17 13:00:00,2.8,1452.0,188.0,15.1,1152.0,25.6
2004-03-17 14:00:00,2.6,1389.0,152.0,13.7,1108.0,25.9
2004-03-17 15:00:00,2.0,1207.0,103.0,10.4,994.0,26.8
2004-03-17 16:00:00,2.9,1365.0,193.0,15.2,1154.0,29.3
2004-03-17 17:00:00,2.5,1247.0,134.0,12.3,1060.0,28.5
2004-03-17 18:00:00,5.0,1557.0,386.0,27.0,1478.0,25.9
2004-03-17 19:00:00,7.6,1973.0,577.0,38.4,1737.0,23.1
2004-03-17 20:00:00,6.7,1975.0,523.0,35.1,1667.0,20.5
2004-03-17 21:00:00,5.7,1795.0,472.0,27.2,1485.0,19.1
2004-03-17 22:00:00,2.8,1444.0,206.0,15.0,1150.0,17.2
2004-03-17 23:00:00,2.6,1488.0,216.0,15.7,1171.0,16.0
2004-03-18 00:00:00,2.3,1371.0,159.0,13.0,1083.0,14.8
2004-03-18 01:00:00,1.4,1161.0,70.0,8.1,904.0,14.3
2004-03-18 02:00:00,1.0,1064.0,44.0,5.5,787.0,14.8
2004-03-18 03:00:00,0.7,970.0,42.0,3.6,687.0,13.9
2004-03-18 05:00:00,0.6,931.0,20.0,2.5,623.0,12.0
2004-03-18 06:00:00,0.7,938.0,26.0,3.0,650.0,10.9
2004-03-18 07:00:00,1.5,1166.0,78.0,7.7,885.0,10.6
2004-03-18 08:00:00,4.7,1643.0,319.0,23.3,1384.0,11.5
2004-03-18 09:00:00,6.6,1934.0,506.0,35.8,1682.0,14.3
2004-03-22 16:00:00,2.3,1076.0,451.0,11.6,1034.0,21.3
2004-03-22 17:00:00,2.6,1152.0,185.0,12.4,1062.0,20.2
2004-03-22 18:00:00,3.8,1407.0,426.0,18.3,1249.0,17.0
2004-03-22 19:00:00,4.4,1438.0,672.0,21.0,1325.0,15.6
2004-03-22 20:00:00,4.5,1425.0,624.0,21.0,1325.0,15.3
2004-03-22 21:00:00,3.3,1279.0,325.0,14.5,1131.0,14.5
2004-03-22 22:00:00,2.0,1132.0,143.0,8.4,916.0,13.9
2004-03-22 23:00:00,1.1,1006.0,89.0,4.3,729.0,14.5
2004-03-23 00:00:00,0.9,982.0,73.0,3.8,700.0,13.8
2004-03-23 01:00:00,0.8,969.0,48.0,2.7,636.0,14.0
2004-03-23 02:00:00,0.7,941.0,47.0,2.5,621.0,13.0
2004-03-23 03:00:00,0.5,892.0,36.0,1.2,522.0,11.0
2004-03-23 05:00:00,0.3,834.0,19.0,0.6,459.0,8.8
2004-03-23 06:00:00,0.5,909.0,26.0,1.8,567.0,9.6
2004-03-23 07:00:00,1.1,1061.0,60.0,4.6,745.0,9.8
2004-03-23 08:00:00,3.0,1441.0,248.0,14.2,1124.0,10.0
2004-03-23 09:00:00,3.8,1498.0,535.0,21.0,1325.0,11.2
2004-03-23 10:00:00,3.4,1343.0,340.0,16.2,1185.0,12.0
2004-03-23 11:00:00,3.0,1308.0,325.0,15.5,1166.0,12.8
2004-03-23 12:00:00,2.7,1209.0,267.0,13.4,1097.0,13.1
2004-03-23 13:00:00,3.5,1310.0,325.0,16.9,1207.0,13.8
2004-03-23 14:00:00,2.8,1171.0,268.0,12.4,1064.0,16.0
2004-03-23 15:00:00,1.9,1112.0,136.0,10.1,980.0,14.1
2004-03-23 16:00:00,2.0,1132.0,118.0,8.7,927.0,12.0
2004-03-23 17:00:00,3.0,1225.0,276.0,13.8,1111.0,13.6
2004-03-23 18:00:00,1.9,1065.0,151.0,9.3,953.0,13.7
2004-03-23 19:00:00,2.7,1236.0,236.0,13.0,1084.0,11.7
2004-03-23 20:00:00,3.3,1309.0,220.0,14.3,1126.0,11.5
2004-03-23 21:00:00,1.7,1089.0,87.0,7.6,884.0,12.6
2004-03-23 22:00:00,1.3,1000.0,81.0,5.3,776.0,12.0
2004-03-23 23:00:00,1.3,1041.0,74.0,5.4,782.0,11.0
2004-03-24 00:00:00,1.2,1045.0,55.0,4.9,756.0,11.1
2004-03-24 01:00:00,1.1,997.0,74.0,4.6,744.0,10.8
2004-03-24 02:00:00,0.9,948.0,35.0,2.7,634.0,11.3
2004-03-24 03:00:00,0.6,878.0,29.0,1.6,551.0,10.6
2004-03-24 05:00:00,0.6,892.0,20.0,1.2,522.0,10.9
2004-03-24 06:00:00,0.8,954.0,32.0,1.7,561.0,10.8
2004-03-24 07:00:00,1.2,1045.0,84.0,4.8,751.0,10.4
2004-03-24 08:00:00,3.1,1383.0,245.0,13.8,1109.0,11.0
2004-03-24 09:00:00,4.4,1597.0,553.0,23.7,1395.0,11.2
2004-03-24 10:00:00,3.4,1318.0,450.0,14.2,1124.0,12.1
2004-03-24 11:00:00,1.7,1138.0,118.0,8.0,898.0,15.1
2004-03-24 12:00:00,1.5,1098.0,118.0,6.7,842.0,15.6
2004-03-24 13:00:00,1.7,1118.0,144.0,8.7,927.0,16.9
2004-03-24 14:00:00,2.2,1170.0,159.0,10.8,1009.0,16.6
2004-03-24 16:00:00,2.7,1390.0,230.0,11.4,1028.0,9.6
2004-03-24 17:00:00,2.8,1353.0,320.0,13.4,1096.0,11.7
2004-03-24 18:00:00,2.7,1260.0,263.0,12.0,1050.0,10.7
2004-03-24 19:00:00,4.5,1501.0,556.0,20.2,1302.0,10.7
2004-03-24 20:00:00,3.5,1273.0,458.0,14.4,1130.0,10.8
2004-03-24 21:00:00,2.6,1179.0,214.0,9.4,955.0,10.3
2004-03-24 22:00:00,1.7,1047.0,97.0,5.9,809.0,10.1
2004-03-24 23:00:00,1.3,973.0,79.0,4.5,739.0,10.4
2004-03-25 00:00:00,1.3,997.0,81.0,4.5,737.0,10.3
2004-03-25 01:00:00,1.0,970.0,52.0,2.5,621.0,11.0
2004-03-25 02:00:00,0.7,902.0,38.0,1.8,568.0,9.1
2004-03-25 03:00:00,0.7,921.0,35.0,1.4,538.0,9.5
2004-03-25 04:00:00,0.5,858.0,29.0,0.9,490.0,9.3
2004-03-25 05:00:00,0.5,878.0,21.0,0.6,457.0,9.9
2004-03-25 06:00:00,0.6,893.0,46.0,1.4,540.0,7.6
2004-03-25 07:00:00,1.1,1038.0,55.0,3.8,697.0,8.1
2004-03-25 08:00:00,2.7,1320.0,271.0,11.6,1035.0,8.7
2004-03-25 09:00:00,3.5,1353.0,434.0,17.8,1235.0,8.6
2004-03-25 10:00:00,2.3,1133.0,300.0,8.8,933.0,9.7
2004-03-25 11:00:00,1.6,1066.0,116.0,6.8,849.0,11.0
2004-03-25 12:00:00,1.3,1027.0,95.0,5.9,809.0,13.6
2004-03-25 13:00:00,2.0,1106.0,211.0,8.9,935.0,14.2
2004-03-25 14:00:00,1.9,1038.0,168.0,8.2,907.0,14.2
2004-03-25 15:00:00,1.9,1084.0,154.0,8.6,924.0,16.0
2004-03-25 16:00:00,2.2,1105.0,267.0,10.1,982.0,17.7
2004-03-25 17:00:00,2.0,1102.0,143.0,9.4,957.0,17.1
2004-03-25 18:00:00,2.9,1240.0,374.0,14.6,1137.0,14.9
2004-03-25 19:00:00,5.2,1443.0,797.0,24.6,1418.0,13.4
2004-03-25 20:00:00,4.6,1389.0,698.0,21.6,1341.0,12.6
2004-03-25 21:00:00,2.5,1183.0,234.0,10.3,989.0,12.2
2004-03-25 22:00:00,1.5,1014.0,104.0,5.7,798.0,10.6
2004-03-25 23:00:00,1.2,979.0,67.0,4.5,736.0,9.9
2004-03-26 00:00:00,1.7,1048.0,88.0,5.5,787.0,9.6
2004-03-26 01:00:00,1.4,1024.0,79.0,4.8,753.0,9.7
2004-03-26 02:00:00,1.2,974.0,61.0,3.6,690.0,9.4
2004-03-26 03:00:00,0.6,862.0,43.0,1.7,561.0,8.2
2004-03-26 04:00:00,0.7,925.0,40.0,2.2,602.0,8.0
2004-03-26 05:00:00,0.8,952.0,52.0,3.0,654.0,7.7
2004-03-26 06:00:00,0.9,1005.0,64.0,4.0,713.0,8.0
2004-03-26 07:00:00,1.6,1122.0,88.0,6.7,842.0,8.5
2004-03-26 08:00:00,3.4,1351.0,375.0,16.7,1201.0,9.8
2004-03-26 09:00:00,3.8,1408.0,592.0,19.3,1278.0,11.2
2004-03-26 10:00:00,3.1,1304.0,357.0,14.8,1142.0,14.8
2004-03-26 11:00:00,2.7,1207.0,296.0,13.4,1098.0,16.8
2004-03-26 12:00:00,2.0,1099.0,181.0,11.0,1014.0,19.2
2004-03-26 13:00:00,2.3,1106.0,211.0,12.5,1068.0,19.1
2004-03-26 14:00:00,1.9,1009.0,199.0,8.4,916.0,16.3
2004-03-26 15:00:00,1.3,962.0,81.0,5.3,776.0,14.2
2004-03-26 16:00:00,1.9,1093.0,143.0,8.8,933.0,13.4
2004-03-26 17:00:00,2.3,1180.0,247.0,11.2,1023.0,14.2
2004-03-26 18:00:00,2.4,1168.0,239.0,11.6,1037.0,12.1
2004-03-26 19:00:00,2.7,1168.0,267.0,12.4,1063.0,10.4
2004-03-26 20:00:00,2.6,1140.0,261.0,10.6,1000.0,10.0
2004-03-26 21:00:00,1.5,1001.0,97.0,6.0,811.0,9.8
2004-03-26 22:00:00,1.2,953.0,66.0,4.6,743.0,9.7
2004-03-26 23:00:00,1.1,972.0,60.0,4.1,715.0,9.9
2004-03-27 00:00:00,1.5,1021.0,77.0,5.2,776.0,9.4
2004-03-27 01:00:00,1.0,940.0,57.0,3.2,664.0,8.6
2004-03-27 02:00:00,1.2,1046.0,65.0,4.5,736.0,8.1
2004-03-27 03:00:00,1.1,1026.0,59.0,3.8,699.0,7.9
2004-03-27 05:00:00,0.8,915.0,27.0,1.9,578.0,8.2
2004-03-27 06:00:00,0.9,935.0,25.0,2.4,615.0,6.3
2004-03-27 07:00:00,1.1,976.0,42.0,3.3,669.0,7.2
2004-03-27 08:00:00,1.5,1124.0,78.0,6.7,842.0,7.2
2004-03-27 09:00:00,1.8,1163.0,128.0,8.5,919.0,11.1
2004-03-27 10:00:00,2.1,1167.0,184.0,9.7,966.0,15.5
2004-03-27 11:00:00,2.1,1121.0,156.0,9.4,955.0,17.8
2004-03-27 12:00:00,1.9,1071.0,176.0,9.0,940.0,17.6
2004-03-27 13:00:00,2.1,1065.0,232.0,10.0,979.0,19.1
2004-03-27 14:00:00,2.5,1157.0,305.0,12.6,1072.0,17.7
2004-03-27 15:00:00,1.9,1046.0,150.0,7.6,883.0,17.8
2004-03-27 16:00:00,2.2,1147.0,188.0,11.8,1042.0,18.7
2004-03-27 17:00:00,2.3,1119.0,221.0,11.2,1022.0,17.1
2004-03-27 18:00:00,2.7,1210.0,219.0,12.4,1062.0,15.8
2004-03-27 19:00:00,3.0,1306.0,306.0,12.9,1079.0,14.7
2004-03-27 20:00:00,2.8,1258.0,270.0,12.2,1057.0,13.6
2004-03-27 21:00:00,2.2,1148.0,231.0,8.8,930.0,12.5
2004-03-27 22:00:00,1.6,1108.0,125.0,6.8,848.0,11.8
2004-03-27 23:00:00,2.1,1231.0,122.0,8.6,924.0,10.9
2004-03-28 00:00:00,2.3,1293.0,161.0,8.9,937.0,10.9
2004-03-28 01:00:00,2.3,1274.0,101.0,8.3,912.0,10.3
2004-03-28 02:00:00,1.7,1135.0,95.0,6.3,827.0,9.3
2004-03-28 03:00:00,2.2,1151.0,129.0,8.3,911.0,8.2
2004-03-28 04:00:00,1.3,1010.0,96.0,5.1,769.0,8.3
2004-03-28 05:00:00,0.8,870.0,54.0,2.6,626.0,9.6
2004-03-28 06:00:00,1.1,983.0,63.0,3.6,688.0,7.7
2004-03-28 07:00:00,1.4,995.0,72.0,3.6,691.0,7.4
2004-03-28 08:00:00,1.3,1024.0,91.0,4.7,747.0,9.7
2004-03-28 09:00:00,1.9,1163.0,127.0,7.5,880.0,12.5
2004-03-28 10:00:00,2.3,1218.0,193.0,9.0,938.0,16.8
2004-03-28 11:00:00,2.3,1210.0,188.0,9.5,958.0,19.2
2004-03-28 12:00:00,1.8,1114.0,151.0,7.7,887.0,21.3
2004-03-28 13:00:00,1.4,995.0,103.0,5.7,796.0,21.2
2004-03-28 14:00:00,1.0,927.0,55.0,3.8,700.0,18.6
2004-03-28 15:00:00,1.4,1002.0,104.0,4.8,754.0,18.0
2004-03-28 16:00:00,1.3,987.0,116.0,4.3,727.0,18.2
2004-03-28 17:00:00,1.3,993.0,93.0,4.1,714.0,17.0
2004-03-28 18:00:00,1.4,1012.0,93.0,4.7,746.0,15.6
2004-03-28 19:00:00,1.9,1114.0,155.0,6.2,823.0,14.1
2004-03-28 20:00:00,1.8,1093.0,115.0,5.5,789.0,13.4
2004-03-28 21:00:00,1.1,968.0,75.0,3.3,669.0,12.3
2004-03-28 22:00:00,1.1,960.0,65.0,3.2,666.0,11.9
2004-03-28 23:00:00,1.1,942.0,57.0,2.9,648.0,11.5
2004-03-29 00:00:00,0.9,888.0,40.0,2.2,598.0,10.6
2004-03-29 01:00:00,0.6,818.0,27.0,1.3,524.0,10.7
2004-03-29 02:00:00,0.5,840.0,23.0,1.1,509.0,10.4
2004-03-29 03:00:00,0.7,894.0,28.0,1.3,524.0,10.1
2004-03-29 04:00:00,0.6,864.0,21.0,1.2,516.0,11.3
2004-03-29 05:00:00,0.7,898.0,33.0,1.7,559.0,10.1
2004-03-29 06:00:00,0.9,946.0,40.0,2.9,643.0,9.9
2004-03-29 07:00:00,2.9,1309.0,279.0,14.3,1125.0,8.1
2004-03-29 08:00:00,4.1,1326.0,743.0,19.7,1289.0,10.9
2004-03-29 09:00:00,1.5,966.0,147.0,5.5,786.0,11.8
2004-03-29 10:00:00,1.5,975.0,97.0,5.6,793.0,13.9
2004-03-29 11:00:00,1.5,988.0,118.0,5.8,803.0,15.6
2004-03-29 12:00:00,1.4,971.0,91.0,5.5,786.0,16.5
2004-03-29 13:00:00,1.6,1010.0,146.0,6.5,833.0,17.5
2004-03-29 14:00:00,1.5,984.0,139.0,5.5,790.0,17.9
2004-03-29 15:00:00,1.4,962.0,155.0,5.2,776.0,18.2
2004-03-29 16:00:00,1.5,1012.0,128.0,5.8,801.0,18.0
2004-03-29 17:00:00,1.9,1058.0,166.0,7.9,896.0,17.0
2004-03-29 18:00:00,2.5,1173.0,299.0,10.2,985.0,16.1
2004-03-29 19:00:00,2.1,1127.0,163.0,8.2,907.0,14.5
2004-03-29 20:00:00,1.6,1020.0,154.0,5.7,797.0,13.2
2004-03-29 21:00:00,1.2,949.0,80.0,3.8,700.0,13.1
2004-03-29 22:00:00,1.1,930.0,58.0,4.0,710.0,13.5
2004-03-29 23:00:00,1.0,900.0,55.0,2.8,643.0,12.4
2004-03-30 00:00:00,1.0,899.0,33.0,2.6,630.0,13.1
2004-03-30 01:00:00,0.7,866.0,33.0,1.8,569.0,11.6
2004-03-30 02:00:00,0.7,900.0,32.0,1.7,563.0,10.5
2004-03-30 03:00:00,0.8,949.0,25.0,1.4,540.0,11.7
2004-03-30 05:00:00,0.7,956.0,26.0,2.3,605.0,12.9
2004-03-30 06:00:00,1.1,1054.0,86.0,5.3,779.0,11.3
2004-03-30 07:00:00,2.6,1343.0,294.0,13.4,1096.0,11.9
2004-03-30 08:00:00,4.0,1584.0,664.0,23.8,1399.0,13.3
2004-03-30 09:00:00,4.2,1556.0,695.0,21.5,1337.0,16.3
2004-03-30 10:00:00,4.7,1565.0,735.0,21.0,1324.0,17.9
2004-03-30 11:00:00,3.9,1429.0,649.0,18.4,1251.0,18.3
2004-03-30 12:00:00,3.7,1419.0,586.0,18.9,1267.0,20.8
2004-03-30 13:00:00,3.4,1373.0,546.0,17.1,1213.0,22.4
2004-03-30 14:00:00,2.2,1185.0,245.0,10.4,992.0,20.9
2004-03-30 15:00:00,1.9,1122.0,178.0,8.0,897.0,19.1
2004-03-30 16:00:00,1.6,1085.0,130.0,6.2,820.0,18.1
